region,hour,eq_lvl,LMP,lower,upper,scale
NR,3,75379.0,10000.0,75379.0,75379.0,1.0
NR,6,72921.0,10000.0,72921.0,72921.0,1.0
NR,12,80090.0,6000.0,80090.0,80090.0,1.0
NR,15,84210.0,10000.0,84210.0,84210.0,1.0
NR,16,86496.0,10000.0,86496.0,86496.0,1.0
NR,22,79271.0,10000.0,79271.0,79271.0,1.0
WR,3,71751.0,3300.0,71751.0,71751.0,1.0
WR,6,69411.0,3300.0,69411.0,69411.0,1.0
WR,12,76235.0,3300.0,76235.0,76235.0,1.0
WR,15,80157.0,3300.0,80157.0,80157.0,1.0
WR,16,82333.0,3300.0,82333.0,82333.0,1.0
WR,22,75456.0,6000.0,75456.0,75456.0,1.0
SR,3,55547.0,3300.0,55547.0,55547.0,1.0
SR,6,53735.0,3300.0,53735.0,53735.0,1.0
SR,12,59018.0,3300.0,59018.0,59018.0,1.0
SR,15,62054.0,3300.0,62054.0,62054.0,1.0
SR,16,63739.0,3300.0,63739.0,63739.0,1.0
SR,22,58415.0,6000.0,58415.0,58415.0,1.0
ER,3,29426.0,3300.0,29426.0,29426.0,1.0
ER,6,28466.0,3300.0,28466.0,28466.0,1.0
ER,12,31265.0,3300.0,31265.0,31265.0,1.0
ER,15,32873.0,3300.0,32873.0,32873.0,1.0
ER,16,33766.0,3300.0,33766.0,33766.0,1.0
ER,22,30946.0,6000.0,30946.0,30946.0,1.0
NER,3,2862.0,3300.0,2862.0,2862.0,1.0
NER,6,2769.0,3300.0,2769.0,2769.0,1.0
NER,12,3041.0,3300.0,3041.0,3041.0,1.0
NER,15,3197.0,3300.0,3197.0,3197.0,1.0
NER,16,3284.0,3300.0,3284.0,3284.0,1.0
NER,22,3010.0,6000.0,3010.0,3010.0,1.0
