region,fuel,hour,MW,marginal,lower,upper,scale
NR,nuclear,3,1620.0,0.0,0.0,inf,1.0
NR,nuclear,6,1620.0,0.0,0.0,inf,1.0
NR,nuclear,12,1620.0,0.0,0.0,inf,1.0
NR,nuclear,15,1620.0,0.0,0.0,inf,1.0
NR,nuclear,16,1620.0,0.0,0.0,inf,1.0
NR,nuclear,22,1620.0,0.0,0.0,inf,1.0
NR,hydro,3,8000.0,0.0,0.0,inf,1.0
NR,hydro,6,8000.0,0.0,0.0,inf,1.0
NR,hydro,12,8000.0,0.0,0.0,inf,1.0
NR,hydro,15,8000.0,0.0,0.0,inf,1.0
NR,hydro,16,8000.0,0.0,0.0,inf,1.0
NR,hydro,22,8000.0,0.0,0.0,inf,1.0
NR,coal,3,33000.0,0.0,0.0,inf,1.0
NR,coal,6,33000.0,0.0,0.0,inf,1.0
NR,coal,12,33000.0,0.0,0.0,inf,1.0
NR,coal,15,33000.0,0.0,0.0,inf,1.0
NR,coal,16,33000.0,0.0,0.0,inf,1.0
NR,coal,22,33000.0,0.0,0.0,inf,1.0
NR,gas,3,5711.0,0.0,0.0,inf,1.0
NR,gas,6,5711.0,0.0,0.0,inf,1.0
NR,gas,12,3696.0,0.0,0.0,inf,1.0
NR,gas,15,5711.0,0.0,0.0,inf,1.0
NR,gas,16,5711.0,0.0,0.0,inf,1.0
NR,gas,22,5711.0,0.0,0.0,inf,1.0
NR,solar,3,0.0,0.0,0.0,inf,1.0
NR,solar,6,7.0,0.0,0.0,inf,1.0
NR,solar,12,19899.0,0.0,0.0,inf,1.0
NR,solar,15,19899.0,0.0,0.0,inf,1.0
NR,solar,16,19899.0,0.0,0.0,inf,1.0
NR,solar,22,0.0,0.0,0.0,inf,1.0
NR,wind,3,517.0,0.0,0.0,inf,1.0
NR,wind,6,367.0,0.0,0.0,inf,1.0
NR,wind,12,272.0,0.0,0.0,inf,1.0
NR,wind,15,353.0,0.0,0.0,inf,1.0
NR,wind,16,375.0,0.0,0.0,inf,1.0
NR,wind,22,573.0,0.0,0.0,inf,1.0
WR,nuclear,3,3240.0,0.0,0.0,inf,1.0
WR,nuclear,6,3240.0,0.0,0.0,inf,1.0
WR,nuclear,12,3240.0,0.0,0.0,inf,1.0
WR,nuclear,15,3240.0,0.0,0.0,inf,1.0
WR,nuclear,16,3240.0,0.0,0.0,inf,1.0
WR,nuclear,22,3240.0,0.0,0.0,inf,1.0
WR,hydro,3,4000.0,0.0,0.0,inf,1.0
WR,hydro,6,4000.0,0.0,0.0,inf,1.0
WR,hydro,12,4000.0,0.0,0.0,inf,1.0
WR,hydro,15,4000.0,0.0,0.0,inf,1.0
WR,hydro,16,4000.0,0.0,0.0,inf,1.0
WR,hydro,22,4000.0,0.0,0.0,inf,1.0
WR,coal,3,68000.0,0.0,0.0,inf,1.0
WR,coal,6,68000.0,0.0,0.0,inf,1.0
WR,coal,12,68000.0,0.0,0.0,inf,1.0
WR,coal,15,68000.0,0.0,0.0,inf,1.0
WR,coal,16,68000.0,0.0,0.0,inf,1.0
WR,coal,22,68000.0,0.0,0.0,inf,1.0
WR,gas,3,0.0,2700.0,0.0,inf,1.0
WR,gas,6,0.0,2700.0,0.0,inf,1.0
WR,gas,12,0.0,2700.0,0.0,inf,1.0
WR,gas,15,0.0,2700.0,0.0,inf,1.0
WR,gas,16,0.0,2700.0,0.0,inf,1.0
WR,gas,22,2317.0,0.0,0.0,inf,1.0
WR,solar,3,0.0,0.0,0.0,inf,1.0
WR,solar,6,8.0,0.0,0.0,inf,1.0
WR,solar,12,24164.0,0.0,0.0,inf,1.0
