from_r,to_r,hour,MW,marginal,lower,upper,scale
NR,WR,3,-3000.0,0.0,-inf,inf,1.0
NR,WR,6,-3000.0,0.0,-inf,inf,1.0
NR,WR,12,-3000.0,0.0,-inf,inf,1.0
NR,WR,15,-3000.0,0.0,-inf,inf,1.0
NR,WR,16,-3000.0,0.0,-inf,inf,1.0
NR,WR,22,-3000.0,0.0,-inf,inf,1.0
NR,ER,3,-3000.0,0.0,-inf,inf,1.0
NR,ER,6,-3000.0,0.0,-inf,inf,1.0
NR,ER,12,-3000.0,0.0,-inf,inf,1.0
NR,ER,15,-3000.0,0.0,-inf,inf,1.0
NR,ER,16,-3000.0,0.0,-inf,inf,1.0
NR,ER,22,-3000.0,0.0,-inf,inf,1.0
NR,NER,3,-800.0,0.0,-inf,inf,1.0
NR,NER,6,-800.0,0.0,-inf,inf,1.0
NR,NER,12,-800.0,0.0,-inf,inf,1.0
NR,NER,15,-800.0,0.0,-inf,inf,1.0
NR,NER,16,-800.0,0.0,-inf,inf,1.0
NR,NER,22,-800.0,0.0,-inf,inf,1.0
WR,NR,3,5100.0,0.0,-inf,inf,1.0
WR,NR,6,5100.0,0.0,-inf,inf,1.0
WR,NR,12,5100.0,0.0,-inf,inf,1.0
WR,NR,15,5100.0,0.0,-inf,inf,1.0
WR,NR,16,5100.0,0.0,-inf,inf,1.0
WR,NR,22,5100.0,0.0,-inf,inf,1.0
WR,SR,3,12000.0,0.0,-inf,inf,1.0
WR,SR,6,-2761.0,0.0,-inf,inf,1.0
WR,SR,12,11032.0,0.0,-inf,inf,1.0
WR,SR,15,6439.0,0.0,-inf,inf,1.0
WR,SR,16,3587.0,0.0,-inf,inf,1.0
WR,SR,22,12000.0,0.0,-inf,inf,1.0
WR,ER,3,-4000.0,0.0,-inf,inf,1.0
WR,ER,6,-4000.0,0.0,-inf,inf,1.0
WR,ER,12,-4000.0,0.0,-inf,inf,1.0
WR,ER,15,-4000.0,0.0,-inf,inf,1.0
WR,ER,16,-4000.0,0.0,-inf,inf,1.0
WR,ER,22,-4000.0,0.0,-inf,inf,1.0
SR,WR,3,-6000.0,0.0,-inf,inf,1.0
SR,WR,6,-6000.0,0.0,-inf,inf,1.0
SR,WR,12,-6000.0,0.0,-inf,inf,1.0
SR,WR,15,-6000.0,0.0,-inf,inf,1.0
SR,WR,16,-6000.0,0.0,-inf,inf,1.0
SR,WR,22,-6000.0,0.0,-inf,inf,1.0
SR,ER,3,620.0,0.0,-inf,inf,1.0
SR,ER,6,-1500.0,0.0,-inf,inf,1.0
SR,ER,12,-1500.0,0.0,-inf,inf,1.0
SR,ER,15,-1500.0,0.0,-inf,inf,1.0
SR,ER,16,-1500.0,0.0,-inf,inf,1.0
SR,ER,22,503.0,0.0,-inf,inf,1.0
ER,NR,3,1200.0,0.0,-inf,inf,1.0
ER,NR,6,1200.0,0.0,-inf,inf,1.0
ER,NR,12,1200.0,0.0,-inf,inf,1.0
ER,NR,15,1200.0,0.0,-inf,inf,1.0
ER,NR,16,1200.0,0.0,-inf,inf,1.0
ER,NR,22,1200.0,0.0,-inf,inf,1.0
ER,WR,3,11590.0,0.0,-inf,inf,1.0
ER,WR,6,-3477.0,0.0,-inf,inf,1.0
ER,WR,12,-5732.0,0.0,-inf,inf,1.0
ER,WR,15,-7496.0,0.0,-inf,inf,1.0
ER,WR,16,-8478.0,0.0,-inf,inf,1.0
ER,WR,22,12220.0,0.0,-inf,inf,1.0
ER,SR,3,-7000.0,0.0,-inf,inf,1.0
ER,SR,6,7000.0,0.0,-inf,inf,1.0
ER,SR,12,7000.0,0.0,-inf,inf,1.0
ER,SR,15,7000.0,0.0,-inf,inf,1.0
ER,SR,16,7000.0,0.0,-inf,inf,1.0
ER,SR,22,-7000.0,0.0,-inf,inf,1.0
ER,NER,3,592.0,0.0,-inf,inf,1.0
ER,NER,6,499.0,0.0,-inf,inf,1.0
ER,NER,12,576.0,0.0,-inf,inf,1.0
ER,NER,15,732.0,0.0,-inf,inf,1.0
ER,NER,16,821.0,0.0,-inf,inf,1.0
ER,NER,22,-1675.0,0.0,-inf,inf,1.0
NER,NR,3,503.0,0.0,-inf,inf,1.0
NER,NR,6,503.0,0.0,-inf,inf,1.0
NER,NR,12,503.0,0.0,-inf,inf,1.0
NER,NR,15,503.0,0.0,-inf,inf,1.0
NER,NR,16,503.0,0.0,-inf,inf,1.0
NER,NR,22,503.0,0.0,-inf,inf,1.0
NER,ER,3,-800.0,0.0,-inf,inf,1.0
NER,ER,6,-800.0,0.0,-inf,inf,1.0
NER,ER,12,-800.0,0.0,-inf,inf,1.0
NER,ER,15,-800.0,0.0,-inf,inf,1.0
NER,ER,16,-800.0,0.0,-inf,inf,1.0
NER,ER,22,-800.0,0.0,-inf,inf,1.0
